id_gestion,fecha_gestion,asesor,regional,tipo_gestion,resultado
GES00001,2026-05-19,Asesor_001,Bogotá,WhatsApp,Efectiva
GES00002,2025-11-01,Asesor_001,Bogotá,Llamada,No efectiva
GES00003,2026-06-20,Asesor_001,Bogotá,Visita,Efectiva
GES00004,2025-08-30,Asesor_001,Bogotá,Llamada,Efectiva
GES00005,2025-11-16,Asesor_001,Bogotá,Visita,No efectiva
GES00006,2025-10-21,Asesor_001,Bogotá,WhatsApp,No efectiva
GES00007,2025-09-15,Asesor_001,Bogotá,Visita,No efectiva
GES00008,2026-06-21,Asesor_001,Bogotá,WhatsApp,Efectiva
GES00009,2026-04-02,Asesor_001,Bogotá,WhatsApp,Efectiva
GES00010,2026-05-01,Asesor_001,Bogotá,Visita,No efectiva
GES00011,2025-08-08,Asesor_001,Bogotá,Email,No efectiva
GES00012,2026-04-29,Asesor_001,Bogotá,Visita,Efectiva
GES00013,2025-08-03,Asesor_001,Bogotá,Visita,Efectiva
GES00014,2026-01-24,Asesor_001,Bogotá,Email,Efectiva
GES00015,2026-02-13,Asesor_001,Bogotá,Email,Efectiva
GES00016,2025-08-24,Asesor_001,Bogotá,Email,No efectiva
GES00017,2026-03-22,Asesor_001,Bogotá,Email,Efectiva
GES00018,2025-10-08,Asesor_001,Bogotá,Email,No efectiva
GES00019,2026-04-08,Asesor_001,Bogotá,Email,No efectiva
GES00020,2025-10-24,Asesor_001,Bogotá,WhatsApp,Efectiva
GES00021,2025-11-23,Asesor_001,Bogotá,Visita,Efectiva
GES00022,2025-08-12,Asesor_001,Bogotá,Visita,Efectiva
GES00023,2026-06-30,Asesor_001,Bogotá,Llamada,Efectiva
GES00024,2026-06-24,Asesor_001,Bogotá,Email,No efectiva
GES00025,2026-06-16,Asesor_001,Bogotá,Llamada,No efectiva
GES00026,2025-08-25,Asesor_001,Bogotá,Llamada,No efectiva
GES00027,2025-08-11,Asesor_001,Bogotá,Llamada,No efectiva
GES00028,2026-03-02,Asesor_001,Bogotá,WhatsApp,Efectiva
GES00029,2025-12-08,Asesor_002,Bogotá,WhatsApp,No efectiva
GES00030,2025-11-14,Asesor_002,Bogotá,Llamada,Efectiva
GES00031,2026-07-05,Asesor_002,Bogotá,Llamada,No efectiva
GES00032,2025-12-17,Asesor_002,Bogotá,Visita,Efectiva
GES00033,2025-09-23,Asesor_002,Bogotá,Llamada,Efectiva
GES00034,2025-09-24,Asesor_002,Bogotá,WhatsApp,Efectiva
GES00035,2025-11-11,Asesor_002,Bogotá,Email,No efectiva
GES00036,2025-11-12,Asesor_002,Bogotá,Email,No efectiva
GES00037,2025-12-30,Asesor_002,Bogotá,Visita,Efectiva
GES00038,2026-04-12,Asesor_002,Bogotá,Visita,No efectiva
GES00039,2026-04-04,Asesor_002,Bogotá,Email,Efectiva
GES00040,2025-08-07,Asesor_002,Bogotá,Llamada,No efectiva
GES00041,2026-05-21,Asesor_002,Bogotá,WhatsApp,Efectiva
GES00042,2025-09-16,Asesor_002,Bogotá,Llamada,No efectiva
GES00043,2025-09-21,Asesor_002,Bogotá,Email,No efectiva
GES00044,2026-03-22,Asesor_002,Bogotá,Email,Efectiva
GES00045,2025-08-26,Asesor_002,Bogotá,Llamada,No efectiva
GES00046,2025-08-21,Asesor_002,Bogotá,Email,Efectiva
GES00047,2026-07-13,Asesor_002,Bogotá,Email,Efectiva
