id_poliza,fecha_emision,asesor,regional,canal,producto,prima_mensual,estado,dias_mora
POL00001,2026-07-13,Asesor_007,Antioquia,Bancaseguros,Accidentes Personales,516300,Vigente,0
POL00002,2025-11-20,Asesor_006,Bogotá,Negocios Masivos,Salud a su Medida,525600,Vigente,0
POL00003,2026-03-03,Asesor_035,Santanderes,Affinity,Salud a su Medida,515300,Cancelada,0
POL00004,2025-10-21,Asesor_001,Bogotá,Affinity,Exequial,261500,Vigente,0
POL00005,2025-09-22,Asesor_022,Costa,Affinity,Vida Deudor,113800,Cancelada,0
POL00006,2025-12-14,Asesor_039,Santanderes,Negocios Masivos,Vida Deudor,409400,Vigente,0
POL00007,2025-09-10,Asesor_025,Costa,Affinity,Accidentes Personales,711000,Vigente,0
POL00008,2026-05-23,Asesor_024,Costa,Negocios Masivos,Salud a su Medida,91700,Vigente,0
POL00009,2025-09-10,Asesor_019,Valle,Bancaseguros,Salud a su Medida,344800,Vigente,0
POL00010,2025-10-23,Asesor_024,Costa,Affinity,Hogar,205700,Vigente,0
POL00011,2026-06-08,Asesor_005,Bogotá,Negocios Masivos,Salud a su Medida,629200,Vigente,0
POL00012,2025-12-17,Asesor_025,Costa,Bancaseguros,Accidentes Personales,593000,Cancelada,0
POL00013,2025-11-26,Asesor_004,Bogotá,Affinity,Vida Deudor,361900,Vigente,0
POL00014,2026-01-09,Asesor_037,Santanderes,Negocios Masivos,Salud a su Medida,441900,Cancelada,0
POL00015,2025-10-13,Asesor_030,Eje Cafetero,Bancaseguros,Hogar,236000,Vigente,0
POL00016,2026-05-27,Asesor_017,Valle,Negocios Masivos,Exequial,360500,Vigente,0
POL00017,2026-04-18,Asesor_009,Antioquia,Bancaseguros,Exequial,651000,Cancelada,0
POL00018,2026-06-18,Asesor_010,Antioquia,Negocios Masivos,Salud a su Medida,379100,Vigente,0
POL00019,2026-06-02,Asesor_025,Costa,Negocios Masivos,Exequial,239900,Vigente,0
POL00020,2026-07-15,Asesor_001,Bogotá,Negocios Masivos,Vida Deudor,756100,Vigente,0
POL00021,2025-09-27,Asesor_022,Costa,Affinity,Hogar,163900,Vigente,0
POL00022,2026-04-14,Asesor_017,Valle,Negocios Masivos,Salud a su Medida,778800,Cancelada,0
POL00023,2026-06-24,Asesor_020,Valle,Negocios Masivos,Accidentes Personales,197100,Vigente,0
POL00024,2026-05-04,Asesor_011,Antioquia,Bancaseguros,Accidentes Personales,523100,Vigente,0
POL00025,2026-02-02,Asesor_008,Antioquia,Bancaseguros,Hogar,82200,Cancelada,0
POL00026,2025-09-13,Asesor_006,Bogotá,Bancaseguros,Exequial,832100,Vigente,0
POL00027,2025-10-05,Asesor_009,Antioquia,Negocios Masivos,Exequial,169600,Vigente,0
POL00028,2026-03-05,Asesor_039,Santanderes,Negocios Masivos,Salud a su Medida,650500,Vigente,0
POL00029,2026-02-21,Asesor_020,Valle,Affinity,Hogar,768200,Vigente,0
POL00030,2025-11-24,Asesor_016,Valle,Affinity,Vida Deudor,52100,Vigente,0
POL00031,2025-11-21,Asesor_038,Santanderes,Bancaseguros,Vida Deudor,611900,Vigente,0
POL00032,2025-08-17,Asesor_005,Bogotá,Bancaseguros,Hogar,454000,Vigente,0
POL00033,2025-11-18,Asesor_032,Eje Cafetero,Bancaseguros,Accidentes Personales,624500,Cancelada,0
POL00034,2026-03-31,Asesor_037,Santanderes,Affinity,Salud a su Medida,693100,Vigente,0
POL00035,2026-07-04,Asesor_007,Antioquia,Affinity,Exequial,380200,Vigente,0
POL00036,2026-07-11,Asesor_004,Bogotá,Bancaseguros,Vida Deudor,363100,Vigente,0
POL00037,2025-12-06,Asesor_007,Antioquia,Bancaseguros,Salud a su Medida,472100,Vigente,0
