id_poliza,fecha_emision,asesor,regional,canal,producto,prima_mensual,estado,dias_mora
POL00384,2026-05-05,Asesor_005,Bogotá,Bancaseguros,Vida Deudor,838700,Vigente,0
POL00515,2026-05-29,Asesor_008,Antioquia,Affinity,Exequial,820000,Vigente,0
POL00175,2026-05-28,Asesor_023,Costa,Negocios Masivos,Hogar,819100,Vigente,0
POL00349,2026-06-09,Asesor_017,Valle,Bancaseguros,Exequial,815200,Vigente,0
POL00347,2026-04-27,Asesor_031,Eje Cafetero,Affinity,Exequial,814700,Vigente,0
POL00481,2026-06-14,Asesor_029,Eje Cafetero,Affinity,Vida Deudor,810800,Vigente,0
POL00416,2026-04-26,Asesor_004,Bogotá,Bancaseguros,Vida Deudor,805300,Vigente,0
POL00188,2026-05-27,Asesor_017,Valle,Negocios Masivos,Exequial,801300,Vigente,0
POL00497,2026-04-21,Asesor_026,Costa,Negocios Masivos,Hogar,798100,Vigente,0
POL00048,2026-05-17,Asesor_038,Santanderes,Affinity,Accidentes Personales,796800,Vigente,0
POL00427,2026-05-17,Asesor_022,Costa,Negocios Masivos,Vida Deudor,784100,Vigente,0
POL00303,2026-06-10,Asesor_014,Valle,Negocios Masivos,Hogar,781900,Vigente,0
POL00248,2026-05-11,Asesor_038,Santanderes,Affinity,Vida Deudor,775900,Vigente,0
POL00133,2026-04-25,Asesor_015,Valle,Affinity,Exequial,775400,Vigente,0
POL00099,2026-06-15,Asesor_009,Antioquia,Bancaseguros,Accidentes Personales,774100,Vigente,0
POL00380,2026-05-26,Asesor_014,Valle,Bancaseguros,Exequial,767600,Vigente,0
POL00319,2026-06-13,Asesor_027,Costa,Affinity,Vida Deudor,759500,Vigente,0
POL00020,2026-07-15,Asesor_001,Bogotá,Negocios Masivos,Vida Deudor,756100,Vigente,0
POL00327,2026-04-21,Asesor_032,Eje Cafetero,Affinity,Exequial,751400,Vigente,0
POL00128,2026-06-23,Asesor_009,Antioquia,Bancaseguros,Exequial,746300,Vigente,0
POL00212,2026-07-02,Asesor_008,Antioquia,Negocios Masivos,Accidentes Personales,740400,Vigente,0
POL00201,2026-06-02,Asesor_010,Antioquia,Affinity,Vida Deudor,734600,Vigente,0
POL00074,2026-06-16,Asesor_022,Costa,Negocios Masivos,Hogar,726100,Vigente,0
POL00555,2026-06-05,Asesor_020,Valle,Bancaseguros,Vida Deudor,716300,Vigente,0
