regional,ranking_regional,asesor,gestiones_totales,gestiones_efectivas,tasa_efectividad_pct
Antioquia,1,Asesor_011,39,24.0,61.54
Antioquia,2,Asesor_008,30,17.0,56.67
Antioquia,3,Asesor_012,24,12.0,50.0
Antioquia,4,Asesor_009,36,13.0,36.11
Antioquia,5,Asesor_010,22,7.0,31.82
Antioquia,6,Asesor_007,20,5.0,25.0
Bogotá,1,Asesor_003,36,24.0,66.67
Bogotá,2,Asesor_001,28,15.0,53.57
Bogotá,3,Asesor_006,32,17.0,53.13
Bogotá,4,Asesor_005,40,20.0,50.0
Bogotá,5,Asesor_002,32,15.0,46.88
Bogotá,6,Asesor_004,29,13.0,44.83
Costa,1,Asesor_026,15,11.0,73.33
Costa,2,Asesor_023,29,20.0,68.97
Costa,3,Asesor_025,37,24.0,64.86
Costa,4,Asesor_022,25,13.0,52.0
Costa,5,Asesor_027,40,16.0,40.0
Costa,6,Asesor_024,34,13.0,38.24
Costa,7,Asesor_021,30,8.0,26.67
Eje Cafetero,1,Asesor_029,40,24.0,60.0
Eje Cafetero,2,Asesor_033,28,16.0,57.14
Eje Cafetero,3,Asesor_032,33,18.0,54.55
Eje Cafetero,4,Asesor_028,39,18.0,46.15
Eje Cafetero,5,Asesor_034,30,13.0,43.33
Eje Cafetero,6,Asesor_031,20,6.0,30.0
Eje Cafetero,7,Asesor_030,33,7.0,21.21
Santanderes,1,Asesor_038,17,13.0,76.47
Santanderes,2,Asesor_037,16,9.0,56.25
Santanderes,3,Asesor_035,18,10.0,55.56
Santanderes,4,Asesor_041,21,11.0,52.38
Santanderes,5,Asesor_040,38,19.0,50.0
Santanderes,6,Asesor_039,26,10.0,38.46
Santanderes,7,Asesor_036,21,8.0,38.1
Valle,1,Asesor_019,36,21.0,58.33
Valle,2,Asesor_017,32,18.0,56.25
Valle,3,Asesor_018,24,13.0,54.17
Valle,4,Asesor_014,30,16.0,53.33
Valle,5,Asesor_020,37,18.0,48.65
Valle,6,Asesor_013,18,8.0,44.44
Valle,7,Asesor_016,19,7.0,36.84
Valle,8,Asesor_015,32,10.0,31.25
