asesor,regional,polizas_vigentes,prima_total_vigente,gestiones_totales,gestiones_efectivas,tasa_efectividad,tasa_efectividad_pct
Asesor_020,Valle,20,8963000.0,37,18,0.4865,48.65
Asesor_005,Bogotá,16,8377900.0,40,20,0.5,50.0
Asesor_006,Bogotá,19,7808300.0,32,17,0.5313,53.13
Asesor_010,Antioquia,14,7319100.0,22,7,0.3182,31.82
Asesor_025,Costa,17,7170500.0,37,24,0.6486,64.86
Asesor_009,Antioquia,16,7152400.0,36,13,0.3611,36.11
Asesor_037,Santanderes,15,7021100.0,16,9,0.5625,56.25
Asesor_038,Santanderes,14,6832400.0,17,13,0.7647,76.47
Asesor_018,Valle,14,6799400.0,24,13,0.5417,54.17
Asesor_007,Antioquia,12,6681900.0,20,5,0.25,25.0
Asesor_026,Costa,15,6548700.0,15,11,0.7333,73.33
Asesor_024,Costa,14,6530900.0,34,13,0.3824,38.24
Asesor_004,Bogotá,14,6257600.0,29,13,0.4483,44.83
Asesor_016,Valle,13,6183900.0,19,7,0.3684,36.84
Asesor_039,Santanderes,14,5860200.0,26,10,0.3846,38.46
Asesor_017,Valle,13,5814000.0,32,18,0.5625,56.25
Asesor_031,Eje Cafetero,14,5731000.0,20,6,0.3,30.0
Asesor_030,Eje Cafetero,14,5543200.0,33,7,0.2121,21.21
Asesor_027,Costa,11,5467800.0,40,16,0.4,40.0
Asesor_034,Eje Cafetero,13,4932600.0,30,13,0.4333,43.33
Asesor_008,Antioquia,9,4870100.0,30,17,0.5667,56.67
Asesor_029,Eje Cafetero,9,4781700.0,40,24,0.6,60.0
Asesor_032,Eje Cafetero,12,4779300.0,33,18,0.5455,54.55
Asesor_015,Valle,9,4709200.0,32,10,0.3125,31.25
Asesor_028,Eje Cafetero,10,4690700.0,39,18,0.4615,46.15
Asesor_035,Santanderes,10,4578500.0,18,10,0.5556,55.56
Asesor_003,Bogotá,11,4520700.0,36,24,0.6667,66.67
Asesor_011,Antioquia,12,4242500.0,39,24,0.6154,61.54
Asesor_014,Valle,8,4231700.0,30,16,0.5333,53.33
Asesor_001,Bogotá,10,4094800.0,28,15,0.5357,53.57
Asesor_022,Costa,8,3691400.0,25,13,0.52,52.0
Asesor_041,Santanderes,10,3634800.0,21,11,0.5238,52.38
Asesor_023,Costa,9,3498200.0,29,20,0.6897,68.97
Asesor_019,Valle,11,3468500.0,36,21,0.5833,58.33
Asesor_012,Antioquia,9,3340100.0,24,12,0.5,50.0
Asesor_013,Valle,10,3061600.0,18,8,0.4444,44.44
Asesor_021,Costa,8,2847400.0,30,8,0.2667,26.67
Asesor_040,Santanderes,7,2759400.0,38,19,0.5,50.0
Asesor_002,Bogotá,7,2723900.0,32,15,0.4688,46.88
Asesor_033,Eje Cafetero,6,2282100.0,28,16,0.5714,57.14
Asesor_036,Santanderes,7,1899200.0,21,8,0.381,38.1
